id_transaccion,etiqueta,nodos_subgrafo,aristas_subgrafo,I1,I2,I3,I4,I5,J1,J2,J3,J4,J5,S_CLON,S_CNP,prediccion,explicacion
TXN_L_0507,legitima,62,90,0,1,0,0,0.0,1,0.3333,0.3333,0.3333,0.0,0.25,0.5333,cnp,β1·J1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0887,legitima,36,56,1,0,0,0,0.0435,0,0.3333,0.3333,0.3333,0.0,0.3543,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0458,legitima,40,64,0,0,0,0,0.087,1,0.3333,0.3333,0.3333,0.0,0.0087,0.5333,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0301,legitima,55,88,0,0,0,0,0.0435,1,0.3333,0.3333,0.3333,0.0,0.0043,0.5333,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0391,legitima,31,44,0,1,0,0,0.0,1,0.3333,0.3333,0.3333,0.0,0.25,0.5333,cnp,β1·J1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0855,legitima,52,76,0,1,0,0,0.0385,1,0.3333,0.3333,0.3333,0.0,0.2539,0.5333,cnp,β1·J1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0576,legitima,69,94,0,0,0,0,0.025,1,0.3333,0.3333,0.3333,0.15,0.0025,0.5483,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0294,legitima,53,76,0,0,0,1,0.0385,1,0.3333,0.3333,0.3333,0.0,0.1039,0.5333,cnp,β1·J1=0.35 | α4·I4=0.1 | β2·J2=0.083
TXN_L_0076,legitima,64,78,1,1,0,0,0.0476,0,0.3333,0.3333,0.3333,0.2059,0.6048,0.2039,clonacion,α1·I1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0700,legitima,61,96,1,0,0,0,0.0,0,0.3333,0.3333,0.3333,0.0,0.35,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_C_0037,clonacion,69,100,1,0,0,0,0.0556,0,0.3333,0.3333,0.3333,0.0,0.3556,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0890,legitima,60,90,1,1,0,0,0.0,0,0.3333,0.3333,0.3333,0.0,0.6,0.1833,clonacion,α1·I1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0873,legitima,55,90,1,1,0,0,0.0,0,0.3333,0.3333,0.3333,0.0,0.6,0.1833,clonacion,α1·I1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0694,legitima,56,88,0,0,0,0,0.0,1,0.3333,0.3333,0.3333,0.0,0.0,0.5333,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_P_0016,cnp,68,78,0,0,0,0,0.0,1,0.3333,0.3333,0.3333,0.5517,0.0,0.5885,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0586,legitima,62,94,1,0,0,0,0.0,0,0.3333,0.3333,0.3333,0.0,0.35,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0583,legitima,56,78,1,0,0,1,0.0,0,0.3333,0.3333,0.3333,0.2903,0.45,0.2123,clonacion,α1·I1=0.35 | α4·I4=0.1 | β2·J2=0.083
TXN_L_0449,legitima,60,84,1,0,0,0,0.0556,0,0.3333,0.3333,0.3333,0.0,0.3556,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0696,legitima,37,52,1,0,0,0,0.0,0,0.3333,0.3333,0.3333,0.0,0.35,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0651,legitima,67,104,0,0,0,0,0.0278,1,0.3333,0.3333,0.3333,0.0,0.0028,0.5333,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0490,legitima,71,104,0,0,0,0,0.025,1,0.3333,0.3333,0.3333,0.1333,0.0025,0.5466,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0250,legitima,65,94,1,0,0,0,0.0556,0,0.3333,0.3333,0.3333,0.0,0.3556,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0670,legitima,67,100,1,0,0,0,0.0233,0,0.3333,0.3333,0.3333,0.0,0.3523,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0689,legitima,49,58,1,0,0,0,0.0,0,0.3333,0.3333,0.3333,0.375,0.35,0.2208,indeterminado,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0869,legitima,56,80,0,0,0,1,0.0385,1,0.3333,0.3333,0.3333,0.0,0.1039,0.5333,cnp,β1·J1=0.35 | α4·I4=0.1 | β2·J2=0.083
TXN_L_0313,legitima,48,76,1,1,0,0,0.0,0,0.3333,0.3333,0.3333,0.0,0.6,0.1833,clonacion,α1·I1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0811,legitima,68,104,0,0,0,0,0.0444,1,0.3333,0.3333,0.3333,0.0889,0.0044,0.5422,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0829,legitima,53,76,1,1,0,0,0.0,0,0.3333,0.3333,0.3333,0.0,0.6,0.1833,clonacion,α1·I1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_P_0030,cnp,75,98,0,1,0,0,0.0294,1,0.3333,0.3333,0.3333,0.4211,0.2529,0.5754,cnp,β1·J1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0876,legitima,54,76,1,0,0,0,0.08,0,0.3333,0.3333,0.3333,0.0,0.358,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0727,legitima,73,96,0,0,0,0,0.025,1,0.3333,0.3333,0.3333,0.1395,0.0025,0.5473,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0189,legitima,60,78,1,0,0,0,0.0294,0,0.3333,0.3333,0.3333,0.3333,0.3529,0.2166,indeterminado,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0333,legitima,65,90,0,0,0,0,0.025,1,0.3333,0.3333,0.3333,0.15,0.0025,0.5483,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_P_0020,cnp,81,100,0,0,0,0,0.0294,1,0.3333,0.3333,0.3333,0.4318,0.0029,0.5765,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0166,legitima,73,122,0,0,0,0,0.0233,1,0.3333,0.3333,0.3333,0.0,0.0023,0.5333,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0503,legitima,33,48,0,1,0,0,0.0,1,0.3333,0.3333,0.3333,0.0,0.25,0.5333,cnp,β1·J1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0475,legitima,41,58,1,0,0,0,0.0476,0,0.3333,0.3333,0.3333,0.0,0.3548,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0753,legitima,37,74,0,0,0,0,0.0,1,0.3333,0.3333,0.3333,0.0,0.0,0.5333,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0094,legitima,59,90,0,0,0,0,0.0278,1,0.3333,0.3333,0.3333,0.0,0.0028,0.5333,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0305,legitima,28,52,1,0,0,0,0.0,0,0.3333,0.3333,0.3333,0.0,0.35,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0569,legitima,46,64,0,0,0,0,0.0,1,0.3333,0.3333,0.3333,0.0,0.0,0.5333,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0888,legitima,35,66,0,0,0,0,0.1,1,0.3333,0.3333,0.3333,0.0,0.01,0.5333,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0004,legitima,33,60,0,0,0,0,0.0,1,0.3333,0.3333,0.3333,0.0,0.0,0.5333,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0658,legitima,70,110,0,0,0,0,0.0233,1,0.3333,0.3333,0.3333,0.0,0.0023,0.5333,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0695,legitima,72,108,0,0,0,0,0.0444,1,0.3333,0.3333,0.3333,0.087,0.0044,0.542,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0866,legitima,35,48,1,1,0,0,0.1,0,0.3333,0.3333,0.3333,0.0,0.61,0.1833,clonacion,α1·I1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0745,legitima,57,86,1,0,0,0,0.0,0,0.3333,0.3333,0.3333,0.0,0.35,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0193,legitima,42,68,0,0,0,0,0.087,1,0.3333,0.3333,0.3333,0.0,0.0087,0.5333,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0318,legitima,58,90,1,0,0,0,0.0,0,0.3333,0.3333,0.3333,0.0,0.35,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_C_0004,clonacion,50,74,1,0,0,0,0.1176,0,0.3333,0.3333,0.3333,0.0,0.3618,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0863,legitima,45,60,0,0,0,0,0.0,1,0.3333,0.3333,0.3333,0.4091,0.0,0.5742,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0874,legitima,34,64,0,0,0,0,0.0,1,0.3333,0.3333,0.3333,0.0,0.0,0.5333,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0574,legitima,68,110,1,0,0,0,0.0,0,0.3333,0.3333,0.3333,0.0,0.35,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0142,legitima,28,48,0,0,0,1,0.1429,1,0.3333,0.3333,0.3333,0.0,0.1143,0.5333,cnp,β1·J1=0.35 | α4·I4=0.1 | β2·J2=0.083
TXN_L_0211,legitima,28,52,1,1,0,0,0.3636,0,0.3333,0.3333,0.3333,0.0,0.6364,0.1833,clonacion,α1·I1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0797,legitima,62,88,0,0,0,1,0.0,1,0.3333,0.3333,0.3333,0.3214,0.1,0.5655,cnp,β1·J1=0.35 | α4·I4=0.1 | β2·J2=0.083
TXN_L_0577,legitima,31,44,0,0,0,1,0.1176,1,0.3333,0.3333,0.3333,0.0,0.1118,0.5333,cnp,β1·J1=0.35 | α4·I4=0.1 | β2·J2=0.083
TXN_L_0348,legitima,52,100,1,0,0,0,0.0,0,0.3333,0.3333,0.3333,0.0,0.35,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0675,legitima,23,38,0,0,0,0,0.1429,1,0.3333,0.3333,0.3333,0.0,0.0143,0.5333,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0299,legitima,65,106,0,0,0,1,0.0233,1,0.3333,0.3333,0.3333,0.0,0.1023,0.5333,cnp,β1·J1=0.35 | α4·I4=0.1 | β2·J2=0.083
TXN_L_0692,legitima,43,60,0,1,0,0,0.0952,1,0.3333,0.3333,0.3333,0.0,0.2595,0.5333,cnp,β1·J1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0629,legitima,37,62,0,0,0,0,0.0,1,0.3333,0.3333,0.3333,0.0,0.0,0.5333,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0205,legitima,59,82,0,0,0,0,0.0,1,0.3333,0.3333,0.3333,0.3103,0.0,0.5643,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0509,legitima,59,98,1,0,0,0,0.0,0,0.3333,0.3333,0.3333,0.0,0.35,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0220,legitima,54,76,1,0,0,0,0.0476,0,0.3333,0.3333,0.3333,0.0,0.3548,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_P_0027,cnp,89,116,0,0,0,1,0.025,1,0.3333,0.3333,0.3333,0.25,0.1025,0.5583,cnp,β1·J1=0.35 | α4·I4=0.1 | β2·J2=0.083
TXN_L_0744,legitima,60,106,1,0,0,1,0.0278,0,0.3333,0.3333,0.3333,0.0,0.4528,0.1833,clonacion,α1·I1=0.35 | α4·I4=0.1 | β2·J2=0.083
TXN_L_0074,legitima,46,74,1,0,0,0,0.0435,0,0.3333,0.3333,0.3333,0.0,0.3543,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0641,legitima,40,74,0,0,0,0,0.0435,1,0.3333,0.3333,0.3333,0.0,0.0043,0.5333,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0853,legitima,76,106,0,0,0,0,0.0444,1,0.3333,0.3333,0.3333,0.0833,0.0044,0.5416,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0611,legitima,38,62,0,0,0,0,0.0,1,0.3333,0.3333,0.3333,0.0,0.0,0.5333,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0638,legitima,51,72,0,0,0,1,0.0385,1,0.3333,0.3333,0.3333,0.0,0.1039,0.5333,cnp,β1·J1=0.35 | α4·I4=0.1 | β2·J2=0.083
TXN_L_0389,legitima,31,50,0,0,0,0,0.1176,1,0.3333,0.3333,0.3333,0.0,0.0118,0.5333,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0484,legitima,64,100,1,0,0,1,0.0625,0,0.3333,0.3333,0.3333,0.0,0.4562,0.1833,clonacion,α1·I1=0.35 | α4·I4=0.1 | β2·J2=0.083
TXN_L_0138,legitima,47,70,0,0,0,0,0.08,1,0.3333,0.3333,0.3333,0.0,0.008,0.5333,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0370,legitima,53,82,0,0,0,0,0.0,1,0.3333,0.3333,0.3333,0.0,0.0,0.5333,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0114,legitima,70,114,1,0,0,0,0.0,0,0.3333,0.3333,0.3333,0.0,0.35,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0779,legitima,52,86,1,0,0,0,0.0625,0,0.3333,0.3333,0.3333,0.0,0.3562,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0293,legitima,69,120,0,0,0,0,0.0625,1,0.3333,0.3333,0.3333,0.0,0.0063,0.5333,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0766,legitima,64,90,1,0,0,0,0.0294,0,0.3333,0.3333,0.3333,0.3429,0.3529,0.2176,indeterminado,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0315,legitima,35,58,0,0,0,0,0.0,1,0.3333,0.3333,0.3333,0.0,0.0,0.5333,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0674,legitima,57,102,0,0,0,0,0.0,1,0.3333,0.3333,0.3333,0.0,0.0,0.5333,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0856,legitima,42,62,0,1,0,0,0.0,1,0.3333,0.3333,0.3333,0.0,0.25,0.5333,cnp,β1·J1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0231,legitima,61,114,0,0,0,1,0.0,1,0.3333,0.3333,0.3333,0.0,0.1,0.5333,cnp,β1·J1=0.35 | α4·I4=0.1 | β2·J2=0.083
TXN_L_0827,legitima,33,48,1,0,0,0,0.1176,0,0.3333,0.3333,0.3333,0.0,0.3618,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0155,legitima,34,60,0,0,0,0,0.0,1,0.3333,0.3333,0.3333,0.0,0.0,0.5333,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0678,legitima,58,86,1,0,0,1,0.0952,0,0.3333,0.3333,0.3333,0.0,0.4595,0.1833,clonacion,α1·I1=0.35 | α4·I4=0.1 | β2·J2=0.083
TXN_L_0813,legitima,55,84,0,0,0,0,0.0,1,0.3333,0.3333,0.3333,0.0,0.0,0.5333,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0730,legitima,49,72,0,0,0,1,0.087,1,0.3333,0.3333,0.3333,0.0,0.1087,0.5333,cnp,β1·J1=0.35 | α4·I4=0.1 | β2·J2=0.083
TXN_L_0720,legitima,38,64,1,0,0,0,0.0,0,0.3333,0.3333,0.3333,0.0,0.35,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0878,legitima,71,110,1,0,0,0,0.0444,0,0.3333,0.3333,0.3333,0.0889,0.3544,0.1922,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0752,legitima,52,76,0,0,0,1,0.0,1,0.3333,0.3333,0.3333,0.0,0.1,0.5333,cnp,β1·J1=0.35 | α4·I4=0.1 | β2·J2=0.083
TXN_L_0248,legitima,72,92,0,0,0,1,0.0294,1,0.3333,0.3333,0.3333,0.2927,0.1029,0.5626,cnp,β1·J1=0.35 | α4·I4=0.1 | β2·J2=0.083
TXN_L_0071,legitima,56,86,0,0,0,0,0.0,1,0.3333,0.3333,0.3333,0.0,0.0,0.5333,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0433,legitima,58,92,1,0,0,0,0.0,0,0.3333,0.3333,0.3333,0.0,0.35,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0781,legitima,50,78,1,0,0,0,0.0,0,0.3333,0.3333,0.3333,0.0,0.35,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0726,legitima,38,60,1,0,0,0,0.1,0,0.3333,0.3333,0.3333,0.0,0.36,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0312,legitima,60,106,0,0,0,1,0.0278,1,0.3333,0.3333,0.3333,0.0,0.1028,0.5333,cnp,β1·J1=0.35 | α4·I4=0.1 | β2·J2=0.083
TXN_C_0038,clonacion,34,44,1,0,0,0,0.0526,0,0.3333,0.3333,0.3333,0.0,0.3553,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0489,legitima,34,64,1,0,0,1,0.0,0,0.3333,0.3333,0.3333,0.0,0.45,0.1833,clonacion,α1·I1=0.35 | α4·I4=0.1 | β2·J2=0.083
TXN_L_0870,legitima,70,110,0,0,0,0,0.0556,1,0.3333,0.3333,0.3333,0.0,0.0056,0.5333,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0810,legitima,66,92,1,0,0,1,0.1364,0,0.3333,0.3333,0.3333,0.2121,0.4636,0.2045,clonacion,α1·I1=0.35 | α4·I4=0.1 | β2·J2=0.083
TXN_L_0357,legitima,39,54,1,0,0,0,0.0952,0,0.3333,0.3333,0.3333,0.0,0.3595,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0802,legitima,43,60,0,0,0,0,0.0952,1,0.3333,0.3333,0.3333,0.0,0.0095,0.5333,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0160,legitima,42,64,1,0,0,1,0.1,0,0.3333,0.3333,0.3333,0.0,0.46,0.1833,clonacion,α1·I1=0.35 | α4·I4=0.1 | β2·J2=0.083
TXN_L_0481,legitima,66,98,1,0,0,0,0.0,0,0.3333,0.3333,0.3333,0.0,0.35,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0746,legitima,63,106,0,0,0,1,0.0556,1,0.3333,0.3333,0.3333,0.0,0.1056,0.5333,cnp,β1·J1=0.35 | α4·I4=0.1 | β2·J2=0.083
TXN_L_0650,legitima,57,114,1,0,0,0,0.0278,0,0.3333,0.3333,0.3333,0.0,0.3528,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
